"","sessionCode","age","gender","language","qualification","effort","sincerity","sessionStart","sessionEnd","ipAddress","browserName","browserVersion","similarityClosed","similarityOpen","repetitionClosed","repetitionOpen","analogyClosed","analogyOpen","sessionEndTs","sessionStartTs","sessionDuration","quali","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","NFC","FI","unit_id","created_at","id","started_at","tainted","channel","trust","worker_id","country","region","city","ip","conf_code","contributor_id","feedback","trick_rel_cor","trick_name_cor","trick_total_cor","date","hour","dayblock","overall_cor","timeReading","timeDrag","timeReadingMedian"
"1","02rglerjcqzf",25,"female","en","university",3,"yes","Tue_May_03_2016_09-38-58","Tue_May_03_2016_09-53-43","127.4.234.129","Chrome",49,"yes","the 3 set of sentences had actions that leaded to consequences","no","","yes","right now i couldn't remember the sentences, I lost concentration after the first part",2016-05-03 09:53:43,2016-05-03 09:38:58,14.75,"university",0,1,3,3,0,2,0,1,1,0,17,4,943925037,"5/3/2016 14:01:26",1975014416,"5/3/2016 13:45:44","false","elite",1,36761089,"USA","NV","Las Vegas","209.141.45.34","02rglerjcqzf-57xo5ftqu4vr",36761089,"After i went out of the first part, I completely forgot the given sentences.. even the last one.",TRUE,TRUE,TRUE,"2016-05-03",9,"morning",0.883928571428571,3083.5,10324,3145.5
"3","0c5n478hs0a4",49,"female","en","highschool",2,"yes","Sat_May_14_2016_08-14-30","Sat_May_14_2016_08-30-34","76.1.215.137","Chrome",50,"yes","weird names
","no",NA,"no",NA,2016-05-14 08:30:34,2016-05-14 08:14:30,16.0666666666667,"highschool",2,1,2,2,2,3,4,1,3,2,11,15,953041219,"5/14/2016 12:30:38",1986199107,"5/14/2016 12:13:23","false","neodev",1,31085823,"USA","OH","Cardington","76.1.215.137","0c5n478hs0a4-wgsk4qf6680d",31085823,"",TRUE,TRUE,TRUE,"2016-05-14",8,"morning",0.758928571428571,4064,10320.5,4766
"4","0qte3tb2bmx0",58,"male","en","university",3,"yes","Tue_May_03_2016_07-21-23","Tue_May_03_2016_07-50-43","127.4.234.129","Chrome",46,"yes","They all have the same logic sequence.","no",NA,"no",NA,2016-05-03 07:50:43,2016-05-03 07:21:23,29.3333333333333,"university",1,1,3,3,0,2,1,2,2,1,16,8,943925037,"5/3/2016 11:51:01",1974940457,"5/3/2016 11:21:05","false","zoombucks",1,9383666,"USA","IN","Noblesville","73.146.49.152","0qte3tb2bmx0-57xo5ftqu4vr",9383666,"",TRUE,TRUE,TRUE,"2016-05-03",7,"morning",0.928571428571429,12120,15984.5,12942
"6","0rbz3087c78n",30,"female","en","university",3,"yes","Tue_May_03_2016_07-34-44","Tue_May_03_2016_07-54-19","127.4.234.129","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-03 07:54:19,2016-05-03 07:34:44,19.5833333333333,"university",0,0,3,4,3,3,2,3,2,2,16,15,943925037,"5/3/2016 11:55:43",1974943137,"5/3/2016 11:35:35","false","gifthunterclub",1,34737109,"USA","AL","Birmingham","45.33.155.11","0rbz3087c78n-57xo5ftqu4vr",34737109,"",TRUE,TRUE,TRUE,"2016-05-03",7,"morning",0.892857142857143,8460.5,13495,9103
"7","0wwbq479u33r",38,"male","en","highschool",3,"yes","Fri_May_13_2016_13-11-38","Fri_May_13_2016_13-22-28","75.75.144.134","Firefox",46,"no",NA,"no",NA,"no",NA,2016-05-13 13:22:28,2016-05-13 13:11:38,10.8333333333333,"highschool",0,2,3,4,3,4,3,4,4,4,14,22,952207996,"5/13/2016 17:22:49",1985302154,"5/13/2016 17:11:34","false","instagc",1,15448937,"USA","PA","Lebanon","75.75.144.134","0wwbq479u33r-wgsk4qf6680d",5,"",TRUE,TRUE,TRUE,"2016-05-13",13,"afternoon",0.5,1808,8135,2128
"8","2cmwyuhgpdyl",43,"male","en","university",3,"yes","Tue_May_03_2016_07-26-41","Tue_May_03_2016_07-45-51","127.4.234.129","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-03 07:45:51,2016-05-03 07:26:41,19.1666666666667,"university",2,2,2,2,3,3,3,3,3,3,9,18,943925037,"5/3/2016 11:46:04",1974936995,"5/3/2016 11:26:27","false","prodege",1,2034278,"USA","NJ","Fords","50.166.185.251","2cmwyuhgpdyl-57xo5ftqu4vr",2034278,"",TRUE,TRUE,TRUE,"2016-05-03",7,"morning",0.955357142857143,9883,11303.5,10185
"9","2tj1f44asl3k",31,"male","en","university",3,"yes","Fri_Apr_29_2016_10-36-59","Fri_Apr_29_2016_11-03-30","127.4.234.129","Firefox",45,"yes","between word","yes","no","no",NA,2016-04-29 11:03:30,2016-04-29 10:36:59,26.5166666666667,"university",2,2,1,1,2,2,2,2,2,1,8,11,943076293,"4/29/2016 17:04:50",1972048354,"4/29/2016 16:37:40","false","elite",1,37101250,"USA","NY","Rochester","23.92.223.211","2tj1f44asl3k-57xo5ftqu4vr",37101250,"",TRUE,TRUE,TRUE,"2016-04-29",10,"morning",0.553571428571429,1649.5,15864.5,1649.5
"10","317c2202rgwl",53,"male","en","university",3,"yes","Fri_May_13_2016_12-12-32","Fri_May_13_2016_12-40-37","73.237.145.187","Firefox",46,"no",NA,"yes","led to a negative conclusion","no",NA,2016-05-13 12:40:37,2016-05-13 12:12:32,28.0833333333333,"university",3,2,1,0,1,2,2,2,2,2,7,11,952207996,"5/13/2016 16:41:07",1985265144,"5/13/2016 16:11:47","false","neodev",1,11102360,"USA","GA","Atlanta","73.237.145.187","317c2202rgwl-wgsk4qf6680d",1,"",TRUE,TRUE,TRUE,"2016-05-13",12,"afternoon",0.964285714285714,12572,15063,13653
"12","3s7mbj6o9hpl",49,"female","en","university",3,"yes","Fri_May_13_2016_13-20-53","Fri_May_13_2016_13-45-06","69.47.106.218","Chrome",50,"yes","an act always leads to another act","yes","the actions of someone lead to an end result","yes","molash hits roze, roze reports to ofar, ofar calls parents",2016-05-13 13:45:06,2016-05-13 13:20:53,24.2166666666667,"university",1,1,4,2,2,3,3,3,3,3,14,17,952207996,"5/13/2016 18:45:33",1985346274,"5/13/2016 18:20:14","false","clixsense",1,33980820,"USA","IL","Naperville","69.47.106.218","3s7mbj6o9hpl-wgsk4qf6680d",27,"",TRUE,TRUE,TRUE,"2016-05-13",13,"afternoon",0.883928571428571,10721,11815.5,11565
"13","3wen4q2je7lr",54,"female","en","highschool",3,"yes","Tue_May_03_2016_07-21-34","Tue_May_03_2016_07-37-52","127.4.234.129","Chrome",50,"no",NA,"yes","last name is then first name","yes","last name is then first name",2016-05-03 07:37:52,2016-05-03 07:21:34,16.3,"highschool",2,2,2,2,2,4,4,4,4,4,10,22,943925037,"5/3/2016 11:37:52",1974931429,"5/3/2016 11:20:58","false","instagc",1,21088425,"USA","MI","Battle Creek","107.140.176.37","3wen4q2je7lr-57xo5ftqu4vr",21088425,"",TRUE,TRUE,TRUE,"2016-05-03",7,"morning",0.830357142857143,4875.5,12469.5,5286
