"","sessionCode","workerId","age","gender","language","qualification","effort","sincerity","sessionStart","sessionEnd","ipAddress","browserName","browserVersion","similarityClosed","similarityOpen","repetitionClosed","repetitionOpen","analogyClosed","analogyOpen","sessionEndTs","sessionStartTs","sessionDuration","quali","unit_id","created_at","id","started_at","tainted","channel","trust","worker_id","country","region","city","ip","conf_code","contributor_id","feedback","date","hour","dayblock","overall_cor","timeDragMedian","rel_cor"
"71","snr8fyacy6cn",36876797,23,"male","en","highschool",3,"yes","Tue_May_31_2016_10-18-14","Tue_May_31_2016_10-47-05","104.236.99.212","Chrome",51,"no",NA,"no",NA,"no",NA,2016-05-31 10:47:05,2016-05-31 10:18:14,28.85,"highschool",964327153,"5/31/2016 16:52:04",2004863581,"5/31/2016 16:22:31","false","neodev",1,36876797,"USA","NY","New York","162.243.38.16","snr8fyacy6cn-wgsk4qf6680d",36876797,"","2016-05-31",10,"morning",0.541666666666667,9616.5,0.416666666666667
"73","ulb1dwmpfemt",35921003,25,"male","en","highschool",3,"yes","Tue_May_31_2016_10-24-11","Tue_May_31_2016_10-40-12","23.92.223.206","Firefox",45,"no",NA,"no",NA,"yes",NA,2016-05-31 10:40:12,2016-05-31 10:24:11,16.0166666666667,"highschool",964327153,"5/31/2016 16:40:53",2004851914,"5/31/2016 16:23:59","false","elite",1,35921003,"USA","NY","Rochester","23.92.223.206","ulb1dwmpfemt-wgsk4qf6680d",35921003,"","2016-05-31",10,"morning",0.510416666666667,11936,0.416666666666667
"44","jjpe1psorf9k",36877530,26,"male","en","highschool",2,"yes","Tue_May_31_2016_10-47-56","Tue_May_31_2016_11-08-24","159.203.161.130","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-31 11:08:24,2016-05-31 10:47:56,20.4666666666667,"highschool",964327153,"5/31/2016 17:13:45",2004881664,"5/31/2016 16:52:19","false","neodev",1,36877530,"USA","NY","New York","159.203.161.130","jjpe1psorf9k-wgsk4qf6680d",36877530,"","2016-05-31",10,"morning",0.447916666666667,10497,0.5
"64","r0m7gpv11x9s",36876389,20,"female","en","highschool",3,"yes","Tue_May_31_2016_11-17-15","Tue_May_31_2016_11-30-05","107.170.84.73","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-31 11:30:05,2016-05-31 11:17:15,12.8333333333333,"highschool",964327153,"5/31/2016 17:32:30",2004895709,"5/31/2016 17:31:40","false","neodev",1,36876389,"USA","NY","New York","107.170.84.73","r0m7gpv11x9s-wgsk4qf6680d",36876389,"","2016-05-31",11,"morning",0.708333333333333,10632,0.611111111111111
"82","zmpkmhfeh5kr",25185311,36,"male","en","highschool",3,"yes","Tue_May_31_2016_12-22-06","Tue_May_31_2016_12-47-52","72.92.60.124","Chrome",50,"no",NA,"no",NA,"no",NA,2016-05-31 12:47:52,2016-05-31 12:22:06,25.7666666666667,"highschool",964327153,"5/31/2016 16:48:29",2004859101,"5/31/2016 16:21:25","false","neodev",1,25185311,"USA","PA","Bethlehem","72.92.60.124","zmpkmhfeh5kr-wgsk4qf6680d",25185311,"","2016-05-31",12,"afternoon",0.614583333333333,23300,0.611111111111111
"25","87le58wkwgon",37503896,28,"female","en","university",3,"yes","Wed_Jun_01_2016_03-18-31","Wed_Jun_01_2016_04-04-45","162.245.84.77","Chrome",49,"no",NA,"no",NA,"no",NA,2016-06-01 04:04:45,2016-06-01 03:18:31,46.2333333333333,"university",964864934,"6/1/2016 10:17:45",2005678556,"6/1/2016 10:16:57","false","bitcoinget",1,37503896,"USA","DE","Wilmington","162.245.84.77","87le58wkwgon-wgsk4qf6680d",37503896,NA,"2016-06-01",3,"night",0.333333333333333,12481,0.333333333333333
"52","o8r18exc665a",21088425,54,"female","en","highschool",3,"yes","Wed_Jun_01_2016_06-40-15","Wed_Jun_01_2016_06-53-39","107.140.176.37","Chrome",50,"no",NA,"no",NA,"no",NA,2016-06-01 06:53:39,2016-06-01 06:40:15,13.4,"highschool",964864934,"6/1/2016 10:53:46",2005714327,"6/1/2016 10:39:42","false","instagc",1,21088425,"USA","MI","Battle Creek","107.140.176.37","o8r18exc665a-wgsk4qf6680d",21088425,NA,"2016-06-01",6,"morning",0.708333333333333,10462,0.555555555555556
"14","4texckz32f5m",14392456,54,"male","en","university",2,"yes","Wed_Jun_01_2016_06-43-25","Wed_Jun_01_2016_07-02-04","45.46.211.14","Chrome",50,"yes","A TO B B TO C","yes","ATO B  B TO C","no",NA,2016-06-01 07:02:04,2016-06-01 06:43:25,18.65,"university",964864934,"6/1/2016 11:02:25",2005722908,"6/1/2016 10:40:34","false","prodege",1,14392456,"USA","NY","East Rochester","45.46.211.14","4texckz32f5m-wgsk4qf6680d",14392456,NA,"2016-06-01",6,"morning",0.739583333333333,15889,0.666666666666667
"8","33t4bhb7413j",12009597,44,"female","en","highschool",3,"yes","Wed_Jun_01_2016_07-17-51","Wed_Jun_01_2016_07-34-13","67.174.76.148","Chrome",50,"yes","it follows the names ","no",NA,"yes","The name went from the front to the end",2016-06-01 07:34:13,2016-06-01 07:17:51,16.3666666666667,"highschool",964864934,"6/1/2016 11:36:21",2005765664,"6/1/2016 11:19:15","false","prodege",1,12009597,"USA","VA","Martinsville","67.174.76.148","33t4bhb7413j-wgsk4qf6680d",12009597,NA,"2016-06-01",7,"morning",0.333333333333333,13356.5,0.416666666666667
"33","cclgkd4mxurf",36874997,19,"male","en","highschool",3,"yes","Wed_Jun_01_2016_10-40-12","Wed_Jun_01_2016_10-53-28","159.203.75.56","Chrome",51,"no",NA,"no",NA,"no",NA,2016-06-01 10:53:28,2016-06-01 10:40:12,13.2666666666667,"highschool",964939932,"6/1/2016 16:58:34",2006007298,"6/1/2016 16:32:34","false","neodev",1,36874997,"USA","NY","New York","159.203.75.56","cclgkd4mxurf-wgsk4qf6680d",36874997,"","2016-06-01",10,"morning",0.333333333333333,7083,0.388888888888889
