"title","names","condition","trial_type","trial_index","time_elapsed","internal_node_id","sessionCode","X","fullStat","name1","relation","timeDrag","ndrags","rel_sol","name1_sol","name2","name2_sol","statIdx","stoIdx","name1_cor","name2_cor","rel_cor","first","overall_cor","uniqueStatement"
"insect","Lothe,Upel,Misug,Puvi,Ribi,Wecin","burns","hebb",4,216945,"0.0-4.0-0.0","0p5lpvlclyr2",NA,"Perfume Lothe attracts insect Upel.","Lothe","attacks",17289,3,"attracts","Lothe","Upel","Upel","1",2,TRUE,TRUE,FALSE,0,0.666666666666667,"insect1"
"insect","Lothe,Upel,Misug,Puvi,Ribi,Wecin","burns","hebb",4,216945,"0.0-4.0-0.0","0p5lpvlclyr2",NA,"Insect Upel attacks woman Misug.","Upel","attacks",14122,4,"attacks","Upel","Misug","Misug","2",2,TRUE,TRUE,TRUE,0,1,"insect2"
"insect","Lothe,Upel,Misug,Puvi,Ribi,Wecin","burns","hebb",4,216945,"0.0-4.0-0.0","0p5lpvlclyr2",NA,"Woman Misug has an allergic reaction.","Misug","has an allergic reaction",13240,2,"has an allergic reaction","Misug",NA,NA,"3",2,TRUE,NA,TRUE,0,1,"insect3"
"fish","Ohan,Wutoc,Kesal,Ebib,Goxos,Afi","burns","hebb",5,268356,"0.0-4.0-1.0","0p5lpvlclyr2",NA,"Fisher Ohan cultivates sea grass Wutoc.","Ohan","cultivates",19645,3,"cultivates","Ohan","Wutoc","Wutoc","1",3,TRUE,TRUE,TRUE,0,1,"fish1"
"fish","Ohan,Wutoc,Kesal,Ebib,Goxos,Afi","burns","hebb",5,268356,"0.0-4.0-1.0","0p5lpvlclyr2",NA,"Sea grass Wutoc is eaten by fish Kesal.","Wutoc","is eaten by",13610,3,"is eaten by","Wutoc","Kesal","Kesal","2",3,TRUE,TRUE,TRUE,0,1,"fish2"
"fish","Ohan,Wutoc,Kesal,Ebib,Goxos,Afi","burns","hebb",5,268356,"0.0-4.0-1.0","0p5lpvlclyr2",NA,"Fish Kesal is captured.","Kesal","is captured",7627,2,"is captured","Kesal",NA,NA,"3",3,TRUE,NA,TRUE,0,1,"fish3"
"school","Ilres,Gelyp,Vilux,Idog,Titho,Rivo","burns","hebb",6,326339,"0.0-4.0-2.0","0p5lpvlclyr2",NA,"School girl Ilres beats boy Gelyp.","Ilres","beats",19041,3,"beats","Ilres","Gelyp","Gelyp","1",4,TRUE,TRUE,TRUE,0,1,"school1"
"school","Ilres,Gelyp,Vilux,Idog,Titho,Rivo","burns","hebb",6,326339,"0.0-4.0-2.0","0p5lpvlclyr2",NA,"Boy Gelyp reports to teacher Vilux.","Gelyp","reports to",14912,3,"reports to","Gelyp","Vilux","Vilux","2",4,TRUE,TRUE,TRUE,0,1,"school2"
"school","Ilres,Gelyp,Vilux,Idog,Titho,Rivo","burns","hebb",6,326339,"0.0-4.0-2.0","0p5lpvlclyr2",NA,"Teacher Vilux calls parents.","Vilux","visits parents",13501,2,"calls parents","Vilux",NA,NA,"3",4,TRUE,NA,FALSE,0,0.5,"school3"
"farm","Zishu,Zimob,Saly,Potho,Afik,Vuloz","fillers","hebb",7,385839,"0.0-4.0-3.0","0p5lpvlclyr2",NA,"Farmer Zishu purchases machine Zimob.","Zishu","purchases",23328,4,"purchases","Zishu","Zimob","Zimob","1",5,TRUE,TRUE,TRUE,0,1,"farm1"
"farm","Zishu,Zimob,Saly,Potho,Afik,Vuloz","fillers","hebb",7,385839,"0.0-4.0-3.0","0p5lpvlclyr2",NA,"Machine Zimob can collect fruit of plant Saly.","Zimob","can collect",15402,3,"can collect","Zimob","Saly","Saly","2",5,TRUE,TRUE,TRUE,0,1,"farm2"
"farm","Zishu,Zimob,Saly,Potho,Afik,Vuloz","fillers","hebb",7,385839,"0.0-4.0-3.0","0p5lpvlclyr2",NA,"Plant Saly are harvested automatically.","Saly","are harvested automatically",10247,2,"are harvested automatically","Saly",NA,NA,"3",5,TRUE,NA,TRUE,0,1,"farm3"
"employee","Diaf,Uyim,Lenik,Molash,Matmag,Igoth","fillers","hebb",8,436834,"0.0-4.0-4.0","0p5lpvlclyr2",NA,"Employee Diaf is assigned to project Uyim.","Diaf","is assigned to",19081,3,"is assigned to","Diaf","Uyim","Uyim","1",6,TRUE,TRUE,TRUE,0,1,"employee1"
"employee","Diaf,Uyim,Lenik,Molash,Matmag,Igoth","fillers","hebb",8,436834,"0.0-4.0-4.0","0p5lpvlclyr2",NA,"Project Uyim supports agenda of manager Lenik.","Uyim","supports sth. of",11433,3,"supports sth. of","Uyim","Lenik","Lenik","2",6,TRUE,TRUE,TRUE,0,1,"employee2"
"employee","Diaf,Uyim,Lenik,Molash,Matmag,Igoth","fillers","hebb",8,436834,"0.0-4.0-4.0","0p5lpvlclyr2",NA,"Manager Lenik gets a promotion.","Lenik","gets a promotion",9951,2,"gets a promotion","Lenik",NA,NA,"3",6,TRUE,NA,TRUE,0,1,"employee3"
