"","title","names","trial_type","trial_index","time_elapsed","internal_node_id","sessionCode","timeReading","fullStat","name1","relation","timeDrag","ndrags","rel_sol","name1_sol","name2","name2_sol","statIdx","stoIdx","name1_cor","name2_cor","rel_cor","condition","first","overall_cor","NFC","FI","timeReadingLog","timeDragLog","uniqueStatement","relError","name1_error","name2_error","dayblock","date","design","stoIdx2"
"1","hacker","Dohod,Ottha,Ihab,Ebib,Mewep,Epnux","hebb",3,94072,"0.0-3.0-0.0","02rglerjcqzf",3099,"Hacker Dohod wrote computer code Ottha.","Dohod","cracks sth. of",10738,3,"wrote","Dohod","Ottha","Ottha","1",1,TRUE,TRUE,FALSE,"analog",1,0.666666666666667,17,4,8.03915739047324,9.28163725385822,"hacker1","order","none","none","morning","2016-05-03",0,1
"2","hacker","Dohod,Ottha,Ihab,Ebib,Mewep,Epnux","hebb",3,94072,"0.0-3.0-0.0","02rglerjcqzf",2250,"Code Ottha cracks the firewall of company Ihab.","Ottha","penetrates sth. of",14831,3,"cracks sth. of","Ottha","Ihab","Ihab","2",1,TRUE,TRUE,FALSE,"analog",1,0.666666666666667,17,4,7.71912984090673,9.60454228780564,"hacker2","syno","none","none","morning","2016-05-03",0,1
"3","hacker","Dohod,Ottha,Ihab,Ebib,Mewep,Epnux","hebb",3,94072,"0.0-3.0-0.0","02rglerjcqzf",1033,"Company Ihab suffers a data loss.","Ihab","suffers sth.",13671,3,"suffers sth.","Ihab",NA,NA,"3",1,TRUE,NA,TRUE,"analog",1,1,17,4,6.94119005506837,9.52310522479543,"hacker3","none","none",NA,"morning","2016-05-03",0,1
"21","insect","Meuf,Saly,Ilres,Wehif,Afi,Kawud","hebb",4,126208,"0.0-3.0-1.0","02rglerjcqzf",4769,"Perfume Meuf attracts insect Saly.","Meuf","attracts",8724,3,"attracts","Meuf","Saly","Saly","1",2,TRUE,TRUE,TRUE,"filler",0,1,17,4,8.47010158388239,9.07394774707063,"insect1","none","none","none","morning","2016-05-03",0,1
"22","insect","Meuf,Saly,Ilres,Wehif,Afi,Kawud","hebb",4,126208,"0.0-3.0-1.0","02rglerjcqzf",2089,"Insect Saly attacks woman Ilres.","Saly","attacks",7864,3,"attacks","Saly","Ilres","Ilres","2",2,TRUE,TRUE,TRUE,"filler",0,1,17,4,7.64491934495886,8.97017781549238,"insect2","none","none","none","morning","2016-05-03",0,1
"23","insect","Meuf,Saly,Ilres,Wehif,Afi,Kawud","hebb",4,126208,"0.0-3.0-1.0","02rglerjcqzf",1388,"Woman Ilres has an allergic reaction.","Ilres","has an allergic reaction",5800,2,"has an allergic reaction","Ilres",NA,NA,"3",2,TRUE,NA,TRUE,"filler",0,1,17,4,7.23633934275434,8.66578559546606,"insect3","none","none",NA,"morning","2016-05-03",0,1
"31","fox","Pishi,Avyth,Hoyl,Ribi,Wecin,Erok","hebb",5,164097,"0.0-3.0-2.0","02rglerjcqzf",5351,"Fox Pishi digs tunnel Avyth.","Pishi","digs",9875,3,"digs","Pishi","Avyth","Avyth","1",3,TRUE,TRUE,TRUE,"analog",0,1,17,4,8.58522560180806,9.19786285046507,"fox1","none","none","none","morning","2016-05-03",0,2
"32","fox","Pishi,Avyth,Hoyl,Ribi,Wecin,Erok","hebb",5,164097,"0.0-3.0-2.0","02rglerjcqzf",6623,"Tunnel Avyth leads to coop of chicken Hoyl.","Avyth","leads to sth. of",8329,3,"leads to sth. of","Avyth","Hoyl","Hoyl","2",3,TRUE,TRUE,TRUE,"analog",0,1,17,4,8.79845469606509,9.02761873516089,"fox2","none","none","none","morning","2016-05-03",0,2
"33","fox","Pishi,Avyth,Hoyl,Ribi,Wecin,Erok","hebb",5,164097,"0.0-3.0-2.0","02rglerjcqzf",991,"Chicken Hoyl is devoured.","Hoyl","is devoured",5216,2,"is devoured","Hoyl",NA,NA,"3",3,TRUE,NA,TRUE,"analog",0,1,17,4,6.89972310728487,8.55967780302239,"fox3","none","none",NA,"morning","2016-05-03",0,2
"4","farm","Goxos,Orok,Hadith,Mabi,Gena,Napib","hebb",6,205481,"0.0-3.0-3.0","02rglerjcqzf",6263,"Farmer Goxos bought machine Orok.","Goxos","bought",9521,3,"bought","Goxos","Orok","Orok","1",4,TRUE,TRUE,TRUE,"filler",0,1,17,4,8.74257423767064,9.16136018975446,"farm1","none","none","none","morning","2016-05-03",0,2
"41","farm","Goxos,Orok,Hadith,Mabi,Gena,Napib","hebb",6,205481,"0.0-3.0-3.0","02rglerjcqzf",7113,"Machine Orok can collect fruit of plant Hadith.","Orok","can collect",10520,3,"can collect","Orok","Hadith","Hadith","2",4,TRUE,TRUE,TRUE,"filler",0,1,17,4,8.8698199525084,9.26112853880829,"farm2","none","none","none","morning","2016-05-03",0,2
"42","farm","Goxos,Orok,Hadith,Mabi,Gena,Napib","hebb",6,205481,"0.0-3.0-3.0","02rglerjcqzf",665,"Plant Hadith are harvested automatically.","Hadith","are harvested automatically",5800,2,"are harvested automatically","Hadith",NA,NA,"3",4,TRUE,NA,TRUE,"filler",0,1,17,4,6.50128967054039,8.66578559546606,"farm3","none","none",NA,"morning","2016-05-03",0,2
"5","bacteria","Uhuy,Evib,Igoth,Aid,Eshov,Mawi","hebb",7,246544,"0.0-3.0-4.0","02rglerjcqzf",2456,"Bacteria Uhuy emits enzyme Evib.","Uhuy","emits",12193,3,"emits","Uhuy","Eshov","Evib","1",5,TRUE,FALSE,TRUE,"analog",0,0.666666666666667,17,4,7.80669637252118,9.40869930646776,"bacteria1","none","none","other","morning","2016-05-03",0,3
"51","bacteria","Uhuy,Evib,Igoth,Aid,Eshov,Mawi","hebb",7,246544,"0.0-3.0-4.0","02rglerjcqzf",6578,"Enzyme Evib dissolves the membrane of organ Igoth.","Eshov","dissolves sth. of",11456,3,"dissolves sth. of","Evib","Igoth","Igoth","2",5,FALSE,TRUE,TRUE,"analog",0,0.666666666666667,17,4,8.791638037086,9.34635617589363,"bacteria2","none","other","none","morning","2016-05-03",0,3
"52","bacteria","Uhuy,Evib,Igoth,Aid,Eshov,Mawi","hebb",7,246544,"0.0-3.0-4.0","02rglerjcqzf",892,"Organ Igoth fails.","Igoth","fails",5984,2,"fails","Igoth",NA,NA,"3",5,TRUE,NA,TRUE,"analog",0,1,17,4,6.7945865808765,8.69701161799207,"bacteria3","none","none",NA,"morning","2016-05-03",0,3
"6","fish","Upno,Afik,Ubug,Olef,Eyem,Uwit","hebb",8,300567,"0.0-3.0-5.0","02rglerjcqzf",5383,"Fisher Upno cultivates sea grass Afik.","Uwit","cultivates",20106,3,"cultivates","Upno","Afik","Afik","1",6,FALSE,TRUE,TRUE,"filler",0,0.666666666666667,17,4,8.59118687132456,9.90882329212565,"fish1","none","other","none","morning","2016-05-03",0,3
"61","fish","Upno,Afik,Ubug,Olef,Eyem,Uwit","hebb",8,300567,"0.0-3.0-5.0","02rglerjcqzf",5368,"Sea grass Afik is eaten by fish Ubug.","Afik","is eaten by",12528,4,"is eaten by","Afik","Ubug","Ubug","2",6,TRUE,TRUE,TRUE,"filler",0,1,17,4,8.58839695042257,9.43580123624555,"fish2","none","none","none","morning","2016-05-03",0,3
"62","fish","Upno,Afik,Ubug,Olef,Eyem,Uwit","hebb",8,300567,"0.0-3.0-5.0","02rglerjcqzf",1008,"Fish Ubug is captured.","Ubug","is captured",8128,2,"is captured","Ubug",NA,NA,"3",6,TRUE,NA,TRUE,"filler",0,1,17,4,6.91671502035361,9.00319319374657,"fish3","none","none",NA,"morning","2016-05-03",0,3
"7","lawyer","Atmag,Owih,Vuloz,Hize,Ada,Gelyp","hebb",9,353392,"0.0-3.0-6.0","02rglerjcqzf",7434,"Lawyer Atmag finds loophole Owih.","Atmag","finds",14781,3,"finds","Atmag","Owih","Owih","1",7,TRUE,TRUE,TRUE,"analog",0,1,17,4,8.91395385889425,9.60116550334483,"lawyer1","none","none","none","morning","2016-05-03",0,4
"71","lawyer","Atmag,Owih,Vuloz,Hize,Ada,Gelyp","hebb",9,353392,"0.0-3.0-6.0","02rglerjcqzf",5171,"Loophole Owih bypasses contract of union Vuloz.","Owih","bypasses sth. of",12641,3,"bypasses sth. of","Owih","Vuloz","Vuloz","2",7,TRUE,TRUE,TRUE,"analog",0,1,17,4,8.55101473989175,9.44477988303224,"lawyer2","none","none","none","morning","2016-05-03",0,4
"72","lawyer","Atmag,Owih,Vuloz,Hize,Ada,Gelyp","hebb",9,353392,"0.0-3.0-6.0","02rglerjcqzf",812,"Union Vuloz loses a lawsuit.","Vuloz","loses sth.",10480,2,"loses sth.","Vuloz",NA,NA,"3",7,TRUE,NA,TRUE,"analog",0,1,17,4,6.70073110954781,9.25731937317018,"lawyer3","none","none",NA,"morning","2016-05-03",0,4
"8","meteo","Eefar,Vivaf,Upel,Rove,Thyra,Vipal","hebb",10,407264,"0.0-3.0-7.0","02rglerjcqzf",5184,"Cloud Eefar collects humidity over ocean Vivaf.","Eefar","collects humidity over",16659,3,"collects humidity over","Eefar","Vipal","Vivaf","1",8,TRUE,FALSE,TRUE,"filler",0,0.666666666666667,17,4,8.55352512066363,9.72076591572083,"meteo1","none","none","other","morning","2016-05-03",0,4
"81","meteo","Eefar,Vivaf,Upel,Rove,Thyra,Vipal","hebb",10,407264,"0.0-3.0-7.0","02rglerjcqzf",4092,"Ocean Vivaf lies next to the beaches of area Upel.","Vipal","lies next to",8070,3,"lies next to","Vivaf","Upel","Upel","2",8,FALSE,TRUE,TRUE,"filler",0,0.666666666666667,17,4,8.3170334764924,8.99603266932437,"meteo2","none","other","none","morning","2016-05-03",0,4
"82","meteo","Eefar,Vivaf,Upel,Rove,Thyra,Vipal","hebb",10,407264,"0.0-3.0-7.0","02rglerjcqzf",3994,"Area Upel is fertile.","Upel","is fertile",14368,2,"is fertile","Upel",NA,NA,"3",8,TRUE,NA,TRUE,"filler",0,1,17,4,8.29279885820037,9.57282838722921,"meteo3","none","none",NA,"morning","2016-05-03",0,4
"9","espionage","Thygef,Yuxeh,Owmi,Thisun,Irov,Enmob","hebb",11,455704,"0.0-3.0-8.0","02rglerjcqzf",4555,"Country Thygef trains spy Yuxeh.","Thygef","trains",13980,3,"trains","Thygef","Irov","Yuxeh","1",9,TRUE,FALSE,TRUE,"analog",0,0.666666666666667,17,4,8.42420032456707,9.54545454398782,"espionage1","none","none","other","morning","2016-05-03",0,5
"91","espionage","Thygef,Yuxeh,Owmi,Thisun,Irov,Enmob","hebb",11,455704,"0.0-3.0-8.0","02rglerjcqzf",3068,"Spy Yuxeh is hired by Intelligence Agency of country Owmi.","Irov","is hired by sth. of",11584,3,"is hired by sth. of","Yuxeh","Owmi","Owmi","2",9,FALSE,TRUE,TRUE,"analog",0,0.666666666666667,17,4,8.02910705461974,9.35746643686648,"espionage2","none","other","none","morning","2016-05-03",0,5
"92","espionage","Thygef,Yuxeh,Owmi,Thisun,Irov,Enmob","hebb",11,455704,"0.0-3.0-8.0","02rglerjcqzf",911,"Country Owmi has its secrets stolen.","Owmi","has sth. stolen",12840,4,"has sth. stolen","Owmi",NA,NA,"3",9,TRUE,NA,TRUE,"analog",0,1,17,4,6.81563999007433,9.46039845583127,"espionage3","none","none",NA,"morning","2016-05-03",0,5
"10","school","Thuha,Lothe,Afid,Pide,Molash,Fozeh","hebb",12,490072,"0.0-3.0-9.0","02rglerjcqzf",2688,"School girl Thuha hits boy Lothe.","Thuha","hits",8513,3,"hits","Thuha","Lothe","Lothe","1",10,TRUE,TRUE,TRUE,"filler",0,1,17,4,7.89692465626886,9.0494671463881,"school1","none","none","none","morning","2016-05-03",0,5
"101","school","Thuha,Lothe,Afid,Pide,Molash,Fozeh","hebb",12,490072,"0.0-3.0-9.0","02rglerjcqzf",1960,"Boy Lothe reports to teacher Afid.","Lothe","reports to",8696,3,"reports to","Lothe","Afid","Afid","2",10,TRUE,TRUE,TRUE,"filler",0,1,17,4,7.58120982619635,9.07073341758977,"school2","none","none","none","morning","2016-05-03",0,5
"102","school","Thuha,Lothe,Afid,Pide,Molash,Fozeh","hebb",12,490072,"0.0-3.0-9.0","02rglerjcqzf",1177,"Teacher Afid calls parents.","Afid","notifies parents",9832,3,"calls parents","Afid",NA,NA,"3",10,TRUE,NA,FALSE,"filler",0,0.5,17,4,7.07157336421153,9.19349935478016,"school3","syno","none",NA,"morning","2016-05-03",0,5
"12","crusader","Itbob,Titho,Roze,Rothuk,Ewey,Hoap","hebb",14,552952,"0.0-3.0-11.0","02rglerjcqzf",6950,"Crusader group Itbob bought weapon Titho.","Itbob","bought",17460,4,"bought","Itbob","Titho","Titho","1",12,TRUE,TRUE,TRUE,"analog",0,1,17,4,8.84664081310049,9.76772510152213,"crusader1","none","none","none","morning","2016-05-03",0,6
"121","crusader","Itbob,Titho,Roze,Rothuk,Ewey,Hoap","hebb",14,552952,"0.0-3.0-11.0","02rglerjcqzf",2920,"Weapon Titho breaches the fortification of town Roze.","Titho","breaches sth. of",9151,3,"breaches sth. of","Titho","Rothuk","Roze","2",12,TRUE,FALSE,TRUE,"analog",0,0.666666666666667,17,4,7.97968130238774,9.12172771361958,"crusader2","none","none","other","morning","2016-05-03",0,6
"122","crusader","Itbob,Titho,Roze,Rothuk,Ewey,Hoap","hebb",14,552952,"0.0-3.0-11.0","02rglerjcqzf",2600,"Town Roze is invaded.","Rothuk","is invaded",10152,2,"is invaded","Roze",NA,NA,"3",12,FALSE,NA,TRUE,"analog",0,0.5,17,4,7.86365126544865,9.22552450730122,"crusader3","none","other",NA,"morning","2016-05-03",0,6
"13","employee","Ifeh,Lenik,Ofes,Gabit,Awiz,Ezol","hebb",15,590048,"0.0-3.0-12.0","02rglerjcqzf",3185,"Employee Ifeh is assigned to project Lenik.","Ifeh","is referred to",10605,3,"is assigned to","Ifeh","Lenik","Lenik","1",13,TRUE,TRUE,FALSE,"filler",0,0.666666666666667,17,4,8.06652149046999,9.26917515769708,"employee1","syno","none","none","morning","2016-05-03",0,6
"131","employee","Ifeh,Lenik,Ofes,Gabit,Awiz,Ezol","hebb",15,590048,"0.0-3.0-12.0","02rglerjcqzf",3106,"Project Lenik supports agenda of manager Ofes.","Lenik","supports sth. of",8952,3,"supports sth. of","Lenik","Ofes","Ofes","2",13,TRUE,TRUE,TRUE,"filler",0,1,17,4,8.04141290939305,9.09974395063416,"employee2","none","none","none","morning","2016-05-03",0,6
