"","title","names","condition","trial_type","trial_index","time_elapsed","internal_node_id","sessionCode","X","fullStat","name1","relation","timeDrag","ndrags","rel_sol","name1_sol","name2","name2_sol","statIdx","stoIdx","name1_cor","name2_cor","rel_cor","first","overall_cor","uniqueStatement","relError","name1_error","name2_error","dayblock","date","stoIdx2","condStoIdx","primed","timeDragLog"
"4","farm","Zishu,Zimob,Saly,Potho,Afik,Vuloz","fillers","hebb",7,385839,"0.0-4.0-3.0","0p5lpvlclyr2",NA,"Farmer Zishu purchases machine Zimob.","Zishu","purchases",23328,4,"purchases","Zishu","Zimob","Zimob","1",5,TRUE,TRUE,TRUE,0,1,"farm1","none","none","none","afternoon",NA,1,1,1,10.0574525008306
"41","farm","Zishu,Zimob,Saly,Potho,Afik,Vuloz","fillers","hebb",7,385839,"0.0-4.0-3.0","0p5lpvlclyr2",NA,"Machine Zimob can collect fruit of plant Saly.","Zimob","can collect",15402,3,"can collect","Zimob","Saly","Saly","2",5,TRUE,TRUE,TRUE,0,1,"farm2","none","none","none","afternoon",NA,1,1,1,9.64231757462446
"42","farm","Zishu,Zimob,Saly,Potho,Afik,Vuloz","fillers","hebb",7,385839,"0.0-4.0-3.0","0p5lpvlclyr2",NA,"Plant Saly are harvested automatically.","Saly","are harvested automatically",10247,2,"are harvested automatically","Saly",NA,NA,"3",5,TRUE,NA,TRUE,0,1,"farm3","none","none",NA,"afternoon",NA,1,1,1,9.23483784357657
"5","employee","Diaf,Uyim,Lenik,Molash,Matmag,Igoth","fillers","hebb",8,436834,"0.0-4.0-4.0","0p5lpvlclyr2",NA,"Employee Diaf is assigned to project Uyim.","Diaf","is assigned to",19081,3,"is assigned to","Diaf","Uyim","Uyim","1",6,TRUE,TRUE,TRUE,0,1,"employee1","none","none","none","afternoon",NA,2,2,0,9.85650076131179
"51","employee","Diaf,Uyim,Lenik,Molash,Matmag,Igoth","fillers","hebb",8,436834,"0.0-4.0-4.0","0p5lpvlclyr2",NA,"Project Uyim supports agenda of manager Lenik.","Uyim","supports sth. of",11433,3,"supports sth. of","Uyim","Lenik","Lenik","2",6,TRUE,TRUE,TRUE,0,1,"employee2","none","none","none","afternoon",NA,2,2,0,9.34434665182392
"52","employee","Diaf,Uyim,Lenik,Molash,Matmag,Igoth","fillers","hebb",8,436834,"0.0-4.0-4.0","0p5lpvlclyr2",NA,"Manager Lenik gets a promotion.","Lenik","gets a promotion",9951,2,"gets a promotion","Lenik",NA,NA,"3",6,TRUE,NA,TRUE,0,1,"employee3","none","none",NA,"afternoon",NA,2,2,0,9.20552881497896
"6","lawyer","Mabi,Aid,Vivaf,Soav,Zidep,Awiz","analogues","hebb",9,496962,"0.0-4.0-5.0","0p5lpvlclyr2",NA,"Lawyer Mabi finds loophole Aid.","Aid","finds",28176,3,"finds","Mabi","Mabi","Aid","1",7,FALSE,FALSE,TRUE,0,0.333333333333333,"lawyer1","none","intra-stat","intra-stat","afternoon",NA,3,1,1,10.2462613213044
"61","lawyer","Mabi,Aid,Vivaf,Soav,Zidep,Awiz","analogues","hebb",9,496962,"0.0-4.0-5.0","0p5lpvlclyr2",NA,"Loophole Aid bypasses contract of union Vivaf.","Mabi","bypasses sth. of",14076,3,"bypasses sth. of","Aid","Vivaf","Vivaf","2",7,FALSE,TRUE,TRUE,0,0.666666666666667,"lawyer2","none","inter-stat","none","afternoon",NA,3,1,1,9.55229753882796
"62","lawyer","Mabi,Aid,Vivaf,Soav,Zidep,Awiz","analogues","hebb",9,496962,"0.0-4.0-5.0","0p5lpvlclyr2",NA,"Union Vivaf loses a lawsuit.","Vivaf","loses sth.",7359,2,"loses sth.","Vivaf",NA,NA,"3",7,TRUE,NA,TRUE,0,1,"lawyer3","none","none",NA,"afternoon",NA,3,1,1,8.90381521172292
"7","fox","Pide,Vipal,Turow,Uvman,Dohod,Ohuy","analogues","hebb",10,558342,"0.0-4.0-6.0","0p5lpvlclyr2",NA,"Fox Pide digs tunnel Vipal.","Pide","digs",29284,3,"digs","Pide","Vipal","Vipal","1",8,TRUE,TRUE,TRUE,0,1,"fox1","none","none","none","afternoon",NA,4,2,0,10.2848307185239
"71","fox","Pide,Vipal,Turow,Uvman,Dohod,Ohuy","analogues","hebb",10,558342,"0.0-4.0-6.0","0p5lpvlclyr2",NA,"Tunnel Vipal leads to coop of chicken Turow.","Vipal","leads to sth. of",13126,3,"leads to sth. of","Vipal","Turow","Turow","2",8,TRUE,TRUE,TRUE,0,1,"fox2","none","none","none","afternoon",NA,4,2,0,9.48242645680341
"72","fox","Pide,Vipal,Turow,Uvman,Dohod,Ohuy","analogues","hebb",10,558342,"0.0-4.0-6.0","0p5lpvlclyr2",NA,"Chicken Turow is devoured.","Turow","is devoured",8430,3,"is devoured","Turow",NA,NA,"3",8,TRUE,NA,TRUE,0,1,"fox3","none","none",NA,"afternoon",NA,4,2,0,9.03967066792268
"8","pump","Hoyl,Enmob,Huluw,Ewey,Olag,Hoap","fillers","hebb",11,610045,"0.0-4.0-7.0","0p5lpvlclyr2",NA,"Plumber Hoyl installs pump Enmob.","Hoyl","installs",21375,3,"installs","Hoyl","Enmob","Enmob","1",9,TRUE,TRUE,TRUE,0,1,"pump1","none","none","none","afternoon",NA,5,3,1,9.97002407633637
"81","pump","Hoyl,Enmob,Huluw,Ewey,Olag,Hoap","fillers","hebb",11,610045,"0.0-4.0-7.0","0p5lpvlclyr2",NA,"Pump Enmob sucks water from ground Huluw.","Enmob","sucks sth. from",12521,3,"sucks sth. from","Enmob","Huluw","Huluw","2",9,TRUE,TRUE,TRUE,0,1,"pump2","none","none","none","afternoon",NA,5,3,1,9.43524237630526
"82","pump","Hoyl,Enmob,Huluw,Ewey,Olag,Hoap","fillers","hebb",11,610045,"0.0-4.0-7.0","0p5lpvlclyr2",NA,"Ground Huluw dries up.","Huluw","dries up",7281,2,"dries up","Huluw",NA,NA,"3",9,TRUE,NA,TRUE,0,1,"pump3","none","none",NA,"afternoon",NA,5,3,1,8.89316082873538
"9","neighbor","Ahow,Assit,Ihab,Yoges,Ezol,Upum","fillers","hebb",12,681318,"0.0-4.0-8.0","0p5lpvlclyr2",NA,"Man Ahow takes care of cat Assit.","Ezol","takes care of",38192,3,"takes care of","Ahow","Assit","Assit","1",10,FALSE,TRUE,TRUE,0,0.666666666666667,"neighbor1","none","other","none","afternoon",NA,6,4,0,10.5504075317298
"91","neighbor","Ahow,Assit,Ihab,Yoges,Ezol,Upum","fillers","hebb",12,681318,"0.0-4.0-8.0","0p5lpvlclyr2",NA,"Cat Assit walks over the flowers of neighbor Ihab","Assit","walks over sth. of",14515,3,"walks over sth. of","Assit","Ihab","Ihab","2",10,TRUE,TRUE,TRUE,0,1,"neighbor2","none","none","none","afternoon",NA,6,4,0,9.58300676833296
"92","neighbor","Ahow,Assit,Ihab,Yoges,Ezol,Upum","fillers","hebb",12,681318,"0.0-4.0-8.0","0p5lpvlclyr2",NA,"Neighbor Ihab gets angry.","Ihab","gets angry",8039,2,"gets angry","Ihab",NA,NA,"3",10,TRUE,NA,TRUE,0,1,"neighbor3","none","none",NA,"afternoon",NA,6,4,0,8.99218436217301
"10","hacker","Orok,Dugoz,Olef,Mewep,Ottha,Itbob","analogues","hebb",13,733798,"0.0-4.0-9.0","0p5lpvlclyr2",NA,"Hacker Orok writes computer code Dugoz.","Olef","writes",19343,3,"writes","Orok","Orok","Dugoz","1",11,FALSE,FALSE,TRUE,0,0.333333333333333,"hacker1","none","inter-stat","intra-stat","afternoon",NA,7,3,1,9.87013757285457
"101","hacker","Orok,Dugoz,Olef,Mewep,Ottha,Itbob","analogues","hebb",13,733798,"0.0-4.0-9.0","0p5lpvlclyr2",NA,"Code Dugoz cracks the firewall of company Olef.","Orok","cracks sth. of",13440,3,"cracks sth. of","Dugoz","Olef","Olef","2",11,FALSE,TRUE,TRUE,0,0.666666666666667,"hacker2","none","inter-stat","none","afternoon",NA,7,3,1,9.50606501607115
"102","hacker","Orok,Dugoz,Olef,Mewep,Ottha,Itbob","analogues","hebb",13,733798,"0.0-4.0-9.0","0p5lpvlclyr2",NA,"Company Olef suffers a data loss.","Olef","suffers sth.",9167,2,"suffers sth.","Olef",NA,NA,"3",11,TRUE,NA,TRUE,0,1,"hacker3","none","none",NA,"afternoon",NA,7,3,1,9.12347443895452
"11","crusader","Hize,Reok,Felac,Newi,Evib,Eshbu","analogues","hebb",14,790005,"0.0-4.0-10.0","0p5lpvlclyr2",NA,"Crusader group Hize buys weapon Reok.","Hize","buys",23039,3,"buys","Hize","Reok","Reok","1",12,TRUE,TRUE,TRUE,0,1,"crusader1","none","none","none","afternoon",NA,8,4,0,10.0449871148098
"111","crusader","Hize,Reok,Felac,Newi,Evib,Eshbu","analogues","hebb",14,790005,"0.0-4.0-10.0","0p5lpvlclyr2",NA,"Weapon Reok breaches the fortification of town Felac.","Reok","breaches sth. of",12566,3,"breaches sth. of","Reok","Felac","Felac","2",12,TRUE,TRUE,TRUE,0,1,"crusader2","none","none","none","afternoon",NA,8,4,0,9.43882960961514
"112","crusader","Hize,Reok,Felac,Newi,Evib,Eshbu","analogues","hebb",14,790005,"0.0-4.0-10.0","0p5lpvlclyr2",NA,"Town Felac is invaded.","Felac","is invaded",10078,2,"is invaded","Felac",NA,NA,"3",12,TRUE,NA,TRUE,0,1,"crusader3","none","none",NA,"afternoon",NA,8,4,0,9.21820933035488
"14","mining","Yuxeh,Owmi,Uwit,Pobat,Thygef,Wehif","fillers","hebb",17,1002914,"0.0-4.0-13.0","0p5lpvlclyr2",NA,"Mining company Yuxeh has a lot of resource Owmi.","Yuxeh","has a lot of",24242,3,"has a lot of","Yuxeh","Owmi","Owmi","1",15,TRUE,TRUE,TRUE,0,1,"mining1","none","none","none","afternoon",NA,9,5,1,10.0958831949016
"141","mining","Yuxeh,Owmi,Uwit,Pobat,Thygef,Wehif","fillers","hebb",17,1002914,"0.0-4.0-13.0","0p5lpvlclyr2",NA,"Resource Owmi is sparse in country Uwit.","Owmi","is sparse in",16096,3,"is sparse in","Owmi","Uwit","Uwit","2",15,TRUE,TRUE,TRUE,0,1,"mining2","none","none","none","afternoon",NA,9,5,1,9.68638819820623
"142","mining","Yuxeh,Owmi,Uwit,Pobat,Thygef,Wehif","fillers","hebb",17,1002914,"0.0-4.0-13.0","0p5lpvlclyr2",NA,"Country Uwit starts negotiating.","Uwit","starts negotiating",12074,3,"starts negotiating","Uwit",NA,NA,"3",15,TRUE,NA,TRUE,0,1,"mining3","none","none",NA,"afternoon",NA,9,5,1,9.39889247852077
"15","storm","Henu,Meuf,Pishi,Roze,Thyra,Owih","fillers","hebb",18,1058736,"0.0-4.0-14.0","0p5lpvlclyr2",NA,"Storm Henu hits tree Meuf.","Henu","hits",21423,3,"hits","Henu","Meuf","Meuf","1",16,TRUE,TRUE,TRUE,0,1,"storm1","none","none","none","afternoon",NA,10,6,0,9.97226706793095
"151","storm","Henu,Meuf,Pishi,Roze,Thyra,Owih","fillers","hebb",18,1058736,"0.0-4.0-14.0","0p5lpvlclyr2",NA,"Tree Meuf falls on trail of route Pishi.","Meuf","falls on",11873,3,"falls on","Meuf","Pishi","Pishi","2",16,TRUE,TRUE,TRUE,0,1,"storm2","none","none","none","afternoon",NA,10,6,0,9.38210641483062
"152","storm","Henu,Meuf,Pishi,Roze,Thyra,Owih","fillers","hebb",18,1058736,"0.0-4.0-14.0","0p5lpvlclyr2",NA,"Route Pishi is blocked.","Pishi","is blocked",12001,2,"is blocked","Pishi",NA,NA,"3",16,TRUE,NA,TRUE,0,1,"storm3","none","none",NA,"afternoon",NA,10,6,0,9.39282858154946
"16","bacteria","Eefar,Eyem,Epnux,Upno,Eshov,Hosen","analogues","hebb",19,1123216,"0.0-4.0-15.0","0p5lpvlclyr2",NA,"Bacteria Eefar emits enzyme Eyem.","Eefar","emits",21846,3,"emits","Eefar","Eyem","Eyem","1",17,TRUE,TRUE,TRUE,0,1,"bacteria1","none","none","none","afternoon",NA,11,5,1,9.99181889132609
