"","title","names","condition","trial_type","trial_index","time_elapsed","internal_node_id","sessionCode","X","fullStat","name1","relation","timeDrag","ndrags","rel_sol","name1_sol","name2","name2_sol","statIdx","stoIdx","first","overall_cor","uniqueStatement","relError","name1_error","name2_error","dayblock","date","stoIdx2","condStoIdx","primed","timeDragLog","variable","value","responseType","stoIdx2Z","condStoIdxZ","conditionZ","primedZ"
"1","farm","Zishu,Zimob,Saly,Potho,Afik,Vuloz","fillers","hebb",7,385839,"0.0-4.0-3.0","0p5lpvlclyr2",NA,"Farmer Zishu purchases machine Zimob.","Zishu","purchases",23328,4,"purchases","Zishu","Zimob","Zimob","1",5,0,1,"farm1","none","none","none","afternoon",NA,1,1,1,10.0574525008306,"name1_cor",TRUE,"name",-1.59312329067521,-1.46372908506565,0.999917324624719,0.999917324624719
"2","farm","Zishu,Zimob,Saly,Potho,Afik,Vuloz","fillers","hebb",7,385839,"0.0-4.0-3.0","0p5lpvlclyr2",NA,"Machine Zimob can collect fruit of plant Saly.","Zimob","can collect",15402,3,"can collect","Zimob","Saly","Saly","2",5,0,1,"farm2","none","none","none","afternoon",NA,1,1,1,9.64231757462446,"name1_cor",TRUE,"name",-1.59312329067521,-1.46372908506565,0.999917324624719,0.999917324624719
"3","farm","Zishu,Zimob,Saly,Potho,Afik,Vuloz","fillers","hebb",7,385839,"0.0-4.0-3.0","0p5lpvlclyr2",NA,"Plant Saly are harvested automatically.","Saly","are harvested automatically",10247,2,"are harvested automatically","Saly",NA,NA,"3",5,0,1,"farm3","none","none",NA,"afternoon",NA,1,1,1,9.23483784357657,"name1_cor",TRUE,"name",-1.59312329067521,-1.46372908506565,0.999917324624719,0.999917324624719
"4","employee","Diaf,Uyim,Lenik,Molash,Matmag,Igoth","fillers","hebb",8,436834,"0.0-4.0-4.0","0p5lpvlclyr2",NA,"Employee Diaf is assigned to project Uyim.","Diaf","is assigned to",19081,3,"is assigned to","Diaf","Uyim","Uyim","1",6,0,1,"employee1","none","none","none","afternoon",NA,2,2,0,9.85650076131179,"name1_cor",TRUE,"name",-1.30346451055245,-0.878237451039389,0.999917324624719,-0.999917324624719
"5","employee","Diaf,Uyim,Lenik,Molash,Matmag,Igoth","fillers","hebb",8,436834,"0.0-4.0-4.0","0p5lpvlclyr2",NA,"Project Uyim supports agenda of manager Lenik.","Uyim","supports sth. of",11433,3,"supports sth. of","Uyim","Lenik","Lenik","2",6,0,1,"employee2","none","none","none","afternoon",NA,2,2,0,9.34434665182392,"name1_cor",TRUE,"name",-1.30346451055245,-0.878237451039389,0.999917324624719,-0.999917324624719
"6","employee","Diaf,Uyim,Lenik,Molash,Matmag,Igoth","fillers","hebb",8,436834,"0.0-4.0-4.0","0p5lpvlclyr2",NA,"Manager Lenik gets a promotion.","Lenik","gets a promotion",9951,2,"gets a promotion","Lenik",NA,NA,"3",6,0,1,"employee3","none","none",NA,"afternoon",NA,2,2,0,9.20552881497896,"name1_cor",TRUE,"name",-1.30346451055245,-0.878237451039389,0.999917324624719,-0.999917324624719
"7","lawyer","Mabi,Aid,Vivaf,Soav,Zidep,Awiz","analogues","hebb",9,496962,"0.0-4.0-5.0","0p5lpvlclyr2",NA,"Lawyer Mabi finds loophole Aid.","Aid","finds",28176,3,"finds","Mabi","Mabi","Aid","1",7,0,0.333333333333333,"lawyer1","none","intra-stat","intra-stat","afternoon",NA,3,1,1,10.2462613213044,"name1_cor",FALSE,"name",-1.01380573042968,-1.46372908506565,-0.999917324624719,0.999917324624719
"8","lawyer","Mabi,Aid,Vivaf,Soav,Zidep,Awiz","analogues","hebb",9,496962,"0.0-4.0-5.0","0p5lpvlclyr2",NA,"Loophole Aid bypasses contract of union Vivaf.","Mabi","bypasses sth. of",14076,3,"bypasses sth. of","Aid","Vivaf","Vivaf","2",7,0,0.666666666666667,"lawyer2","none","inter-stat","none","afternoon",NA,3,1,1,9.55229753882796,"name1_cor",FALSE,"name",-1.01380573042968,-1.46372908506565,-0.999917324624719,0.999917324624719
"9","lawyer","Mabi,Aid,Vivaf,Soav,Zidep,Awiz","analogues","hebb",9,496962,"0.0-4.0-5.0","0p5lpvlclyr2",NA,"Union Vivaf loses a lawsuit.","Vivaf","loses sth.",7359,2,"loses sth.","Vivaf",NA,NA,"3",7,0,1,"lawyer3","none","none",NA,"afternoon",NA,3,1,1,8.90381521172292,"name1_cor",TRUE,"name",-1.01380573042968,-1.46372908506565,-0.999917324624719,0.999917324624719
"10","fox","Pide,Vipal,Turow,Uvman,Dohod,Ohuy","analogues","hebb",10,558342,"0.0-4.0-6.0","0p5lpvlclyr2",NA,"Fox Pide digs tunnel Vipal.","Pide","digs",29284,3,"digs","Pide","Vipal","Vipal","1",8,0,1,"fox1","none","none","none","afternoon",NA,4,2,0,10.2848307185239,"name1_cor",TRUE,"name",-0.724146950306915,-0.878237451039389,-0.999917324624719,-0.999917324624719
"11","fox","Pide,Vipal,Turow,Uvman,Dohod,Ohuy","analogues","hebb",10,558342,"0.0-4.0-6.0","0p5lpvlclyr2",NA,"Tunnel Vipal leads to coop of chicken Turow.","Vipal","leads to sth. of",13126,3,"leads to sth. of","Vipal","Turow","Turow","2",8,0,1,"fox2","none","none","none","afternoon",NA,4,2,0,9.48242645680341,"name1_cor",TRUE,"name",-0.724146950306915,-0.878237451039389,-0.999917324624719,-0.999917324624719
